Gene	In_ML	In_DE	In_MUT	In_STRING	Support_Count
CSAD	TRUE	TRUE	FALSE	FALSE	2
ESR1	TRUE	TRUE	FALSE	TRUE	3
ERBB2	TRUE	TRUE	FALSE	TRUE	3
C19orf36	TRUE	TRUE	FALSE	FALSE	2
CA12	TRUE	TRUE	FALSE	FALSE	2
TFF3	TRUE	TRUE	FALSE	FALSE	2
TP53	TRUE	FALSE	TRUE	TRUE	3
EGFR	TRUE	TRUE	FALSE	TRUE	3
RHOB	TRUE	TRUE	FALSE	FALSE	2
BPI	TRUE	TRUE	FALSE	FALSE	2
ALB	TRUE	TRUE	FALSE	TRUE	3
TBC1D9	TRUE	TRUE	FALSE	FALSE	2
FOXC1	TRUE	TRUE	FALSE	FALSE	2
TFF1	TRUE	TRUE	FALSE	TRUE	3
POU5F1	TRUE	TRUE	FALSE	FALSE	2
CT62	TRUE	TRUE	FALSE	FALSE	2
ASPM	TRUE	TRUE	FALSE	FALSE	2
AGR3	TRUE	TRUE	FALSE	FALSE	2
GDF15	TRUE	TRUE	FALSE	FALSE	2
LOC145837	TRUE	TRUE	FALSE	FALSE	2
C1orf64	TRUE	TRUE	FALSE	FALSE	2
TTK	TRUE	TRUE	FALSE	FALSE	2
AGR2	TRUE	TRUE	FALSE	TRUE	3
TNF	TRUE	TRUE	FALSE	TRUE	3
GPR77	TRUE	TRUE	FALSE	FALSE	2
PPP1R14C	TRUE	TRUE	FALSE	FALSE	2
VGLL1	TRUE	TRUE	FALSE	FALSE	2
LOC84740	TRUE	TRUE	FALSE	FALSE	2
MLPH	TRUE	TRUE	FALSE	FALSE	2
CYP2B7P1	TRUE	TRUE	FALSE	FALSE	2
FSIP1	TRUE	TRUE	FALSE	FALSE	2
MKI67	TRUE	TRUE	FALSE	FALSE	2
KIF11	TRUE	TRUE	FALSE	FALSE	2
BUB1	TRUE	TRUE	FALSE	FALSE	2
TMSB15A	TRUE	TRUE	FALSE	FALSE	2
CCNA2	TRUE	TRUE	FALSE	FALSE	2
DSC2	TRUE	TRUE	FALSE	FALSE	2
CDK1	TRUE	TRUE	FALSE	FALSE	2
GAMT	TRUE	TRUE	FALSE	FALSE	2
AURKB	TRUE	TRUE	FALSE	FALSE	2
FFAR2	TRUE	TRUE	FALSE	FALSE	2
PLK1	TRUE	TRUE	FALSE	FALSE	2
ENPP1	TRUE	TRUE	FALSE	FALSE	2
TPSG1	TRUE	TRUE	FALSE	FALSE	2
AURKA	TRUE	TRUE	FALSE	FALSE	2
PSAT1	TRUE	TRUE	FALSE	FALSE	2
CCND1	TRUE	TRUE	FALSE	FALSE	2
CXXC5	TRUE	TRUE	FALSE	FALSE	2
LCT	TRUE	TRUE	FALSE	FALSE	2
ART3	TRUE	TRUE	FALSE	FALSE	2
RRM2	TRUE	TRUE	FALSE	FALSE	2
KCNK15	TRUE	TRUE	FALSE	FALSE	2
HORMAD1	TRUE	TRUE	FALSE	FALSE	2
TOP2A	TRUE	TRUE	FALSE	FALSE	2
FOXA1	TRUE	TRUE	FALSE	FALSE	2
PRR15	TRUE	TRUE	FALSE	FALSE	2
FAM47E	TRUE	TRUE	FALSE	FALSE	2
UGT2B7	TRUE	TRUE	FALSE	FALSE	2
CXorf61	TRUE	TRUE	FALSE	FALSE	2
TTLL4	TRUE	TRUE	FALSE	FALSE	2
PKP1	TRUE	TRUE	FALSE	FALSE	2
EN1	TRUE	TRUE	FALSE	FALSE	2
C6orf97	TRUE	TRUE	FALSE	FALSE	2
MMP17	TRUE	TRUE	FALSE	FALSE	2
SLC7A8	TRUE	TRUE	FALSE	FALSE	2
CDH1	TRUE	FALSE	TRUE	FALSE	2
TTC36	TRUE	TRUE	FALSE	FALSE	2
FREM2	TRUE	TRUE	FALSE	FALSE	2
ABCC8	TRUE	TRUE	FALSE	FALSE	2
A2ML1	TRUE	TRUE	FALSE	FALSE	2
DNALI1	TRUE	TRUE	FALSE	FALSE	2
XBP1	TRUE	TRUE	FALSE	FALSE	2
ANKRD30A	TRUE	TRUE	FALSE	FALSE	2
CCDC48	TRUE	TRUE	FALSE	FALSE	2
TNIP3	TRUE	TRUE	FALSE	FALSE	2
GP2	TRUE	TRUE	FALSE	FALSE	2
INA	TRUE	TRUE	FALSE	FALSE	2
GATA3	TRUE	TRUE	TRUE	FALSE	3
AGAP11	TRUE	TRUE	FALSE	FALSE	2
LRRC17	TRUE	TRUE	FALSE	FALSE	2
BCAS1	TRUE	TRUE	FALSE	FALSE	2
